;No;Tweet;Relevant/irrelevant;Sentiment;Intensity;Attitude;Link
381;389;"QT @SusanNourAlDeen: #save_kuwaiti_bedon #save_kuwaiti_stateless @RTarabic @Refugees @UN_Spokesperson @CNN @realDonaldTrump ترامب الزق @France24_ar @unhcr الأمم المرتشيه @UN @UNHCR_Arabic @UNGeneva ; @MerikiKO 🌷Kerri Anne is entitled to her opinion, please respect your elders as per indigenous cultural values🌷 and ⭐️listen⭐️... she spoke to support your community and your own position🌷
";irrelevant;neutral;medium;unrelated;http://twitter.com/shsoomra/statuses/1181129092399284225
382;390;"@rehan_warisha @dhruv_rathee Yes UNHCR have them a Refugee card
";irrelevant;neutral;low;unrelated;http://twitter.com/shsoomra/statuses/1181128835825377283
383;391;"QT @pamelacurr: @UN @ADHRB @IntlCrimCourt @TheHagueOnLine #Everyoneoff #ClosetheCamps #NoMoreNauru #NoMoreManus #NoMoreRefugeeCruelty Sanction Australia Violation of UNHCR 1951, Prolonged 6 year Detention, Violence towards Refugees, Inadequate Medical Care and Transfers, 16 Deaths, Torture ; Now time to look at delays in refugee processing for people in detention- deliberate no interview for 2 years then no decision for more then refusal to accept positive decision the refusal to accept tribunal- on and on it goes while people lose their minds #auspol https://t.co/rlK9UYCjge
";irrelevant;neutral;low;unrelated;http://twitter.com/englisbabu/statuses/1172878072976158720
384;392;"@prettyarbitrary (which is something that I've always ranted abt, less ow killing robots more ow working with the UNHCR to help relocate refugees or with the WOH to distribute medicine in war torn zones)
";irrelevant;neutral;medium;unrelated;http://twitter.com/pommieP1/statuses/1181267567085793280
385;393;"@Refugees @StatePRM Please press here 👇🏻 #unhcr_ Thailand_where_r_u #unhcr_thailand_wakeup https://t.co/PiTZxCqKZ7
";irrelevant;neutral;low;unrelated;http://twitter.com/zapher134/statuses/1173031847644868608
386;394;"QT @SeemaSapraLaw: @SeemaSapraLaw @AnooBhu @DrHarjitBhatti @myogiadityanath @UN @HRW_Brussels @Reuters @hrw @nytimes @realDonaldTrump @narendramodi @AmitShah @ifrc @ImranKhanPTI @unhcr Why do you think I would be rattled? It's not a crime to born anywhere in the world,even your love for qawwali is well accepted but you can't ask us to now start loving Jaish or Lashkar-e-Taiba. Don't expect us ever to appreciate Pakistani propaganda here. https://t.co/Csz2UtdAQn ; @bmskuks @AnooBhu @DrHarjitBhatti @myogiadityanath @UN @HRW_Brussels @Reuters @hrw @nytimes @realDonaldTrump @narendramodi @AmitShah @ifrc @ImranKhanPTI @unhcr Unblocked. & just to rattle you, my parents were both born in undivided Punjab (Pakistan). My father went to College in Lahore, studied Urdu in a madrasa as a child, searched for his family in refugee camps. I love many things Pakistani like this Qawwali https://t.co/Jce97AeKXi
";irrelevant;neutral;medium;unrelated;http://twitter.com/migratorymel/statuses/1181132609448902656
387;395;"""As a refugee, your psychology is always a concern"" #mindthemindnow We continue committed to #MHPSS for refugees and people on the move @Refugees @MHPSSCollabora1 @mhpss @MH_CarmenValle https://t.co/btZ7ABEDSO
";;positive;medium;action-based;http://twitter.com/PetraNahmias/statuses/1181180740375126018
388;396;"""More people have been forced to flee and fewer are able to safely return to their country of origin,"" 2010 #JohnMonashScholar Catherine Stubberfield is quoted in @abcnews as spokeswoman for the @Refugees in Canberra. Read here: https://t.co/MHICWaeu9c";;neutral;medium;sharing;http://twitter.com/asharadil1/statuses/1172857562066280449
389;397;"""No one leaves home unless home is the mouth of a shark ""... Justice to refugees @Refugees https://t.co/QyV6IAcwaz
";;positive;high;liking;http://twitter.com/Chanakya_fan/statuses/1172880389498519552
390;398;"""Without continued support from the int'l community,the situation of thousands of #Rohingya refugees will rapidly deteriorate"". @WFP & @Refugees sposkespersons briefed the media on emergency situation in Cox’s Bazar after the recent heavy monsoon rains https://t.co/8f8gb44QB8";;neutral;medium;sharing;http://twitter.com/mORGANICo_cOM/statuses/1100850777273315328
391;399;"""Women need to remake man-made [discriminatory] laws"" - @AminaJMohammed at UN HLS on #Statelessness. Nationality laws that deny women the same rights as men is an important place to start to uphold women's #EqualCitizenship & end statelessness. @Refugees #IBelong
";;positive;medium;sharing;http://twitter.com/afsahi_ramin/statuses/1100879274968530945
392;400;“These 50 or so men have effectively been disappeared” Situation happening now for Australian asylum seekers held captive in PNG by the Australian Government is intolerable. Article by @Shamindan1 Recommended reading. @NilsMelzer @Refugees @IntlCrimCourt https://t.co/tIxAJK7CYO;;neutral;low;sharing;http://twitter.com/AYAZ94156013/statuses/1172801145779232769
393;401;"Ethnologia: Protecting refugees in Europe: UNHCR calls for a ‘... https://t.co/sns0M28eF6
";;neutral;low;sharing;http://twitter.com/GayeRobinson18/statuses/1100942004995964929
394;402;"#AzizbekAshurov #nansenAwaed winner ended statelessness in #Kyrgyzstan @RefugeesChief @Refugees https://t.co/pKalxfuyOC
";;positive;medium;sharing;http://twitter.com/AmirFa777/statuses/1100817699255566336
395;403;#Duterte offers #Filipino #citizenship to #Rohingya #refugees President #RodrigoDuterte on Tuesday offered Filipino citizenship to Rohingya refugees as he reiterated his willingness to accept them into the country. @Refugees https://t.co/lHo6eLOUD4;;neutral;medium;liking;http://twitter.com/saasadi1/statuses/1100862729554935808
396;404;"#emf @el_memorial will visit various IDP camps in #borno to enrol children on #PSS and OPV vaccine soon! stay awake to follow the outreach... #emfroyalinnovation @kyarigarbaiii @UNICEFEducation @Refugees @PZulum @BashirAhmaad @kujarima @MBuhari
";;positive;medium;liking;http://twitter.com/reza72077063/statuses/1172645671645507584
397;405;"#Ethiopia. We are mobilizing resources in support of the call made by #Ethiopia to respond to large scale internal displacement in the country. @RefugeesChief statement at @Refugees 70th EXCOM meeting in #Geneva
";;positive;medium;sharing;http://twitter.com/Jawid_Allen/statuses/1172875172639981568
398;406;"QT @AJEnglish: But they don't lock them up in cages. ; Uganda hosts the largest number of unaccompanied child refugees in the world, according to the UNHCR. https://t.co/FHhhmCYdKu
";;neutral;medium;sharing;http://twitter.com/Mani00286075/statuses/1100840217588756481
399;407;"#HELPREFUGEESININDONESIA #RESETTLEMENT4SINGLEREFUGEES People say, hope is the last asset of a human being, and look at our situation, we are even deprived of that last asset @UNHCRIndo @Refugees @UNHumanRights @UNHCRCanada @IOMIndonesia https://t.co/LwXadVsnZe
";;negative;high;helpless;http://twitter.com/yaldaaryaiiii/statuses/1100843834978779136
400;408;"#HELPREFUGEESININDONESIA #RESETTLEMENT4SINGLEREFUGEES UNCR DID YOU KNOW ABOUT JUSTNESS WE WANT JUSTNESS Six years is enough 2013 2014 2015 2016 2017 2018 2019 @UNHCRIndo @Refugees @UNHumanRights @UNHCRCanada @IOMIndonesia https://t.co/dQmDnzXKS2
";;negative;high;helpless;http://twitter.com/mehrnoo12119846/statuses/1100830000847056896
401;409;"#HELPREFUGEESININDONESIA #RESETTLEMENT4SINGLEREFUGEES UNCR DID YOU KNOW ABOUT JUSTNESS WE WANT JUSTNESS Six years is enough 2013 2014 2015 2016 2017 2018 2019 @UNHCRIndo @Refugees @UNHumanRights @UNHCRCanada @IOMIndonesia https://t.co/tZPn9KBk8O
";;negative;high;helpless;http://twitter.com/saasadi1/statuses/1100856785135636482
402;410;#HumanButcherSisi @Reuters @washingtonpost @nytimes @NATO @UNICEF @UN @BBC @CNN @cnnbrk @UNHumanRights @realDonaldTrump @EU_Commission @eucopresident @AP @Refugees @DailyMirrorO Egyptian brothers: Be sure. All Muslims are crying for executed young people .....!!???? https://t.co/0ESW7iQhT4;irrelevant;neutral;high;disliking;http://twitter.com/saasadi1/statuses/1100871559777054720
403;411;#HumanButcherSisi O Egyptian brothers: Be sure. All Muslims are crying for executed young people @washingtonpost @nytimes @NATO @UNICEF @UN @BBC @CNN @cnnbrk @UNHumanRights @realDonaldTrump @EU_Commission @eucopresident @AP @Refugees @DailyMirror https://t.co/8O0sunAd2Q;;negative;medium;disliking;http://twitter.com/KLowgren/statuses/1181412308649697280
404;412;"#IBelong campaign means a lot to millions of #stateless people around the world. Our hearts & prayers with you in hope to end #Statelessness I am #bidun from #Kuwait @ENStatelessness @Refugees @statelessnessca
";;positive;high;liking;http://twitter.com/KLowgren/statuses/1181403757071998977
405;413;#IranianRefugeesInTurkey have been waiting for Resettlement for MANY YEARS.We need to your HELP🖐🏻we have been totally #abandoned. Please HELP🙏🏻 #Resettlement4Iranian @Refugees @UN @UNmigration @UN_News_Centre @UNOCHA @UN_HRC @UNGeneva @UNHumanRights @unfoundation @UNHCRgov 🆘 https://t.co/0G2QstxFwL;;negative;high;helpless;http://twitter.com/KLowgren/statuses/1181401724436799489
406;414;#IranianRefugeesInTurkey have been waiting for Resettlement for MANY YEARS.We need to your HELP🖐🏻we have been totally #abandoned. Please HELP🙏🏻 #Resettlement4Iranian @Refugees @UN @UNmigration @UN_News_Centre @UNOCHA @UN_HRC @UNGeneva @UNHumanRights @unfoundation @UNHCRgov 🆘 https://t.co/EvfRnp8WVy;;negative;high;helpless;http://twitter.com/KLowgren/statuses/1181398295312293888
407;415;#Italy allows a French charity #rescue ship, #OceanViking, to bring ashore 82 #migrants at #Lampedusa/ cc @Refugees #SAR #Mediterranean #Refugees #SOSMediterranee #MSF #Ports #Maritime #Europe #News https://t.co/C5KEUeTFVb;;neutral;low;sharing;http://twitter.com/ferhattehnelder/statuses/1100869084043005952
408;416;"Statement by UNHCR Special Envoy Angelina Jolie in Kutupalong refugee settlement, Bangladesh https://t.co/yxtWUJZMwO
";;neutral;low;sharing;http://twitter.com/HerryRodin/statuses/1172722841646534656
409;417;"Vacancy almost closing! @Refugees seeks an External Relations Assistant (LICA-5) in #London #UnitedKingdom! Find more info & Apply by 6 February at: https://t.co/T6umLSZM1Y #unhcr #PublicInformation #ExternalRelations #Communication https://t.co/c11RELEqs6
";;neutral;low;sharing;http://twitter.com/AsoIsraa/statuses/1181112519060013058
410;418;"@Fiffeline I am Physician and i am working under the United Nations High Commissioner For Refugee [UNHCR] here in Zaa'tari refugee camp between the border iuof Jordan and Syria
";;neutral;medium;sharing;http://twitter.com/Omid02120421/statuses/1100818378263093249
411;419;"#Kenya - We have an extremely vulnerable #transgender girl who needs to be #resettled. He has already suffered numerous #attacks and #violence and we are very worried. @UNHCR_Kenya @Refugees https://t.co/fKxv1pUoNN
";;neutral;high;action-based;http://twitter.com/aaa03971012/statuses/1181343882124115968
412;420;#Manipur: 79 #Rohingyas arrested so far, says #CM Manipur CM N Biren Singh on Wednesday said that up to 79 Rohingya nationals have been arrested so far by the police. @Refugees https://t.co/SZ8XSUdUIR;;neutral;medium;action-based;http://twitter.com/VauPiku/statuses/1181158275351552000
413;421;"#Repost @refugees with instatoolsapp ・・・ Solidarity with Afghan refugees.⁣ ⁣ “A forward-looking, generous gesture of solidarity of global significance"" ⁣ ⁣ - Our Refugees Chief on the… https://t.co/twqxVv8hsx";;positive;low;liking;http://twitter.com/MPT2019/statuses/1172825918018129920
414;422;#RESETTLEMENT4SINGLEREFUGEES #HELPREFUGEESININDONESIA @Refugees @IOM_GMDAC @hrw @JustinTrudeau @ScottMorrisonMP @jacindaardern @AJEnglish Single efugees are not criminals! Plz hear us🙏 The United Nations in Indonesia plays with the lives of single refugees https://t.co/sZ7MIOytYv;;negative;high;action-based;http://twitter.com/W_K_Martin_III/statuses/1173066824189173760
415;423;"#RESETTLEMENT4SINGLEREFUGEES #HELPREFUGEESININDONESIA @THOMAS_VARGAS If you can guarantee that I will not be killed in Afghanistan, then I am ready to go back to Afghanistan At least I'll be saved from this hell @UN @Refugees https://t.co/Er28nR5SD6
";;negative;high;helpless;http://twitter.com/W_K_Martin_III/statuses/1173065210522980352
416;424;"#RESETTLEMENT4SINGLEREFUGEES #HELPREFUGEESININDONESIA How long should we be in limbo in Indonesia in uncertainty situation? @Refugees @ScottMorrisonMP @realDonaldTrump @jacindaardern @PeterDutton_MP @billshortenmp @9NewsAUS https://t.co/38tEjjsy22 https://t.co/wOY0jhmjTe
";;negative;high;helpless;http://twitter.com/62WalterP/statuses/1173040934172463105
417;425;"#RESETTLEMENT4SINGLEREFUGEES #HELPREFUGEESININDONESIA How long should we be in limbo in Indonesia in uncertainty situation? @Refugees @ScottMorrisonMP @realDonaldTrump @jacindaardern @PeterDutton_MP @billshortenmp @9NewsAUS https://t.co/G4CFzzkzzv
";;negative;high;helpless;http://twitter.com/theresacastilo2/statuses/1172763836643991553
418;426;#savebalochistan #azadbalochistan @UNHumanRights @Refugees https://t.co/EMSqsduZFu;;neutral;low;sharing;http://twitter.com/ChuckKeller14/statuses/1173039669413666816
419;427;"#Statelessness @UNGeneva @Geneve_int @Refugees @UNHumanRights @CarolBatchelo12 @AdrianEdwrds @MelissaFleming HCR Goodwill Ambassador actress #CateBlanchett raises awareness on the topic // It's hard for us to imagine the degree of invisibility often stateless people experience https://t.co/z27LPXizUF
";;positive;medium;liking;http://twitter.com/AmbazoniaM/statuses/1172982239879147521
420;428;"#Statelessness @UNGeneva @Geneve_int @Refugees @UNHumanRights @CarolBatchelo12 @MelissaFleming @AdrianEdwrds @missionAustralia Solutions urgently needed for millions without #citizenship #IBelong campaign launched in 2014 Goodwill Ambassador actress #CateBlanchett is in Geneva 🇨🇭 https://t.co/OOyLRDDbnG
";;positive;medium;liking;http://twitter.com/MadhuSu124/statuses/1172974645101977600
421;429;"#Statelessness can be addressed, prevented & even eradicated. Half way through the 10-year #IBelong campaign we see some tangible results. Read our full @Refugees #ExCom2019 statement: https://t.co/jSd1kASHno https://t.co/35OQ8DG0mY
";;positive;medium;action-based;http://twitter.com/Fawz91574704/statuses/1181193608491409409
422;430;"#Stop_killing_the_people_of_iraq #stop_the_bullets #stop_the_bullets_iraq #save_the_lraqi_people #Save_the_Iraqi_people #العراق_يتعرض_لإبادة_جماعية @UN @Refugees @UNICEF @USATODAY Can anyone stop what’s happening in Iraq BEFORE every single person dies!!
";;positive;high;disliking;http://twitter.com/pfoloshi4/statuses/1180716053346828290
423;431;#TheVoice of violations of #HumanRights ، inequality and injustice is very clear in UN statistics of #Resettlement4Iranian . #IranianRefugeesInTurkey @UNHCRTurkey @Refugees @UNHCRCanada @UNOCHA @UN_HRC @sgdd_asam @AmnestyNow 🏳 https://t.co/DuXWCGYTLH;;neutral;low;disliking;http://twitter.com/vaneela6/statuses/1181160052188692480
424;432;#trevligtfolk from Borlange Municipality 🇸🇪 visited Kakuma + Kalobeyei, home to 186,000 refugees in Kenya 🇰🇪 to see the #peaceandlove among refugees and host communities. Grateful to @TurkanaCountyKE and Sweden for hosting and supporting @Refugees. https://t.co/YzjTZqlhL7;;positive;medium;liking;http://twitter.com/SakinaKamwendo/statuses/1181272172096045058
425;433;#UN #Refugee Chief welcomes #African leadership and solidarity in action for refugees evacuated from #Libya: https://t.co/qqAjR06BKV via @refugees;;neutral;medium;sharing;http://twitter.com/darrenkelly89/statuses/1181132526510886913
426;434;#UNHCR @Refugees thank #Rwanda, Niger and the African Union for their leadership and solidarity with evacuations of refugees out of #Libya . https://t.co/BLxsTp24LD @_AfricanUnion #RwoT #Refugees https://t.co/crlNKU9VbG;;neutral;medium;sharing;http://twitter.com/VauPiku/statuses/1181157053395591179
427;435;"#UNHCR Goodwill Ambassador #CateBlanchett participating in @Refugees #ExCom. What songs make you feel like “I belong”? Listen to songs selected by Cate Blanchett & Andrew Upton for the #IBelong campaign at https://t.co/1CR4JvRQxU It’s time to #EndStatelessness https://t.co/3NbURXw5vj
";;positive;medium;sharing;http://twitter.com/Marcus38839578/statuses/1181247441770893312
428;436;#UNhumanRights #hrc41 #HRC #CommissionerHR #StateDLR #humanrightswatch #humanright1st #baloch @BHROrganization @PMOIndia #humanity #HumanityFirst @UN @UNHumanRights @Refugees @ICJ_org @realDonaldTrump @hrw @humanrightsasia @UNICEF @UN_HRC https://t.co/TOfMTLG2WS;;neutral;low;sharing;http://twitter.com/kenkoen/statuses/1181097287612801024
429;437;"#WithSyria #StandWithTheRebels #SaveSyria #EndTheGenocide #StandUp4HumanRights #TheWorldMustAct #RemoveAssad @UN @UNICEF @amnesty @RefugeesIntl @HRC @hrw @SpeakerPelosi @senatemajldr @Refugees @UNHumanRights @WhiteHouse https://t.co/AR7X27hVv3
";;negative;high;disliking;http://twitter.com/PreciousLugaye1/statuses/1181119959356846080
430;438;"#WithSyria #StandWithTheRebels #SaveSyria #EndTheGenocide #StandUp4HumanRights #TheWorldMustAct #RemoveAssad @UN @UNICEF @amnesty @RefugeesIntl @HRC @hrw @SpeakerPelosi @senatemajldr @Refugees @UNHumanRights @WhiteHouse https://t.co/cbr96LNVvZ
";;negative;high;disliking;http://twitter.com/anisurauthor/statuses/1181150186547974144
431;439;"#WithSyria #StandWithTheRebels #SaveSyria #EndTheGenocide #StandUp4HumanRights #TheWorldMustAct #RemoveAssad @UN @UNICEF @amnesty @RefugeesIntl @HRC @hrw @SpeakerPelosi @senatemajldr @Refugees @UNHumanRights @WhiteHouse https://t.co/ipCigw4Wb0
";;negative;high;disliking;http://twitter.com/institute_si/statuses/1181182022913548295
432;440;"#WithSyria #StandWithTheRebels #SaveSyria #EndTheGenocide #StandUp4HumanRights #TheWorldMustAct #RemoveAssad @UN @UNICEF @amnesty @RefugeesIntl @HRC @hrw @SpeakerPelosi @senatemajldr @Refugees @UNHumanRights @WhiteHouse https://t.co/oxUXMRjHfA
";;negative;high;disliking;http://twitter.com/mjb881/statuses/1181304546389368832
433;441;"#WithSyria #StandWithTheRebels #SaveSyria #EndTheGenocide #StandUp4HumanRights #TheWorldMustAct #RemoveAssad @UN @UNICEF @amnesty @RefugeesIntl @HRC @hrw @SpeakerPelosi @senatemajldr @Refugees @UNHumanRights @WhiteHouse https://t.co/qZjtolIHrl
";;negative;high;disliking;http://twitter.com/kalikajoy30/statuses/1181341297484996613
434;442;"#WithSyria #StandWithTheRebels #SaveSyria #EndTheGenocide #StandUp4HumanRights #TheWorldMustAct #RemoveAssad @UN @UNICEF @amnesty @RefugeesIntl @HRC @hrw @SpeakerPelosi @senatemajldr @Refugees @UNHumanRights @WhiteHouse https://t.co/TzEM9ra4Z3
";;negative;high;disliking;http://twitter.com/visceraegore/statuses/1181369191250702338
435;443;#Women try to #escape deprivation of #freedom in #SaudiArabia: @monaeltahawy speaks of #gender #apartheid. Shockingly #government #officials not only from #Australia are accomplices in returning these @Refugees and #AsylumSeekers against their #HumanRights https://t.co/lRl7s0wayJ;;negative;medium;disliking;http://twitter.com/BobbyCheeks1/statuses/1181293459149328385
436;444;#Yemen is in crisis. Read about Yemeni civilian Hamamah and the all too common struggle for survival. UNHCR @Refugees outlines the dire need for continued funding to support those like Hamamah who require life-saving assistance. https://t.co/80jqXlbOTm;;positive;low;action-based;http://twitter.com/mpj214/statuses/1181322198629470215
437;445;"#Yemen: @Refugees: 'Like millions, these young displaced Yemenis need our help. These two displaced children stand near their tent in Ma'abar hosting site in Dhamar, #Yemen. Many displaced families are living in tent… https://t.co/62nXrahV23, see more https://t.co/AwK6y7c9KL
";;neutral;medium;sharing;http://twitter.com/stefanomanservi/statuses/1100889919302586368
438;446;#افرجوا_عن_راشد_حسين #ReleaseRashidHussain @UNHCR_Arabic @AmnestyUAE @UAE_Berlin @UAEEmbassyUS @UAEEmbassyUK @amnesty @Refugees @hrw @UN @amnestyusa @hrw @BBCUrdu @CNNnews18 @ZeeNews @AlJazeera @narendramodi https://t.co/im8uI0KVh1;;neutral;low;sharing;http://twitter.com/AzizKalo/statuses/1181154115138793474
439;447;$300bn spent on Nigerians, Mexico, other illegal immigrants annually @realDonaldTrump @POTUS @abikedabiri @MBuhari @nigimmigration @UN @Refugees https://t.co/jDTs2IJkjq;;negative;medium;disliking;http://twitter.com/AzizKalo/statuses/1181153504934674433
440;448;.@antonioguterres @StephDujarric @mfespinosaEC @mbachelet @RefugeesChief @Refugees @UNLazzarini @nmladenov @UNCERF @unfpa @UNDP @UNDPPA @UNPeacekeeping @UNPeacebuilding @UN_Spokesperson https://t.co/hOtJMu7lLd;;neutral;low;sharing;http://twitter.com/StevenJ59111768/statuses/1145391913773731841
441;449;".@MahaMamo at the 70th session of UNHCR’s @Refugees #Excom: “[Statelessness] is not a political issue. It’s a humanitarian issue that can be solved.” Watch #IOHR’s interview: #SOStatelessness https://t.co/zGsSuD0ED9 https://t.co/FOGwLye85L
";;positive;medium;action-based;http://twitter.com/abbycool30/statuses/1181237795282542597
442;450;@__Eyl @unluturk67 @murat58ss @tozanbey58 @Ayy_tul @61kologlu @sessizol36 @AZRA2702 @Reuters @washingtonpost @nytimes @NATO @UNICEF @UN @BBC @CNN @cnnbrk @UNHumanRights @realDonaldTrump @EU_Commission @eucopresident @AP @Refugees @DailyMirror !!!!!!! http;;neutral;low;sharing;http://twitter.com/IdpWatch/statuses/1172779981665177600
443;451;@__Eyl @unluturk67 @murat58ss @tozanbey58 @one_minute___ @Ayy_tul @61kologlu @sessizol36 @AZRA2702 Wake up O People Don't Stay Insensitive Massacre is going on in Egypt Where are you Why do not you sound? #HumanButcherSisi @thetimes @TheSun @ABC @WSJ @Reu;;negative;high;disliking;http://twitter.com/axy3d/statuses/1181236936201183232
444;452;@_martinacat @Refugees @cejjimenez @ProtectionClust @NWalicki Good news!;;positive;medium;liking;http://twitter.com/SHAHLA21566500/statuses/1100847858826297344
445;453;@_yusufosmanli @unluturk67 @tozanbey58 @erayyyNihal @murat58ss @DeliCilgin55 @61kologlu @SudeMirayCan @aplt81 @ahmetsengul34 @Vatan_SancAK @one_minute___ @Ayse3245 @tomris_hatun34 @keder6565 @57nurhak33 @Hayrl2Mer @abdurrahman_sng @Mustafa_1TR @diyetistt ;;neutral;low;sharing;http://twitter.com/Omid02120421/statuses/1100824417683361793
446;454;"@Aamirkh61119144 @ShehryarAfridi1 @Refugees Where is the genocide?Genocide of #Hindus was done in #kashmir in 90's. https://t.co/CH0RV6sMjf
";;negative;medium;unrelated;http://twitter.com/hrvatina69/statuses/1100858379952623620
447;455;"@AbagisKen @Refugees @UN Hey knucklehead, she's Australian commenting on a worldwide concern being taken up by the @Refugees and @UNHumanRights and 180 other countries to improve an international humanitarian crisis . You should be applauding. Back in your burrow .Thanks.
";;positive;high;liking;http://twitter.com/salihozdemir16/statuses/1181266060131098624
448;456;  @abdullahalsaleh @sarahleah1 @AmnestyAR @hrw @BBCArabic @CPJMENA @UNHumanRights @UNICEF @MailOnline @thetimes @MBA_AlThani_ @saifaalthani @A_AlAthbah @Reaproy @KenRoth @UNNewsArabic @UN_Women @Refugees @UN @UNHumanRights @UNHumanRights @UNICEFinArabic ;;neutral;medium;helpless;http://twitter.com/Rahulsway/statuses/1172892480477380609
449;457;@ABSStats @Refugees When are you guys going to publish crime stats by race? A bunch of evil Nazis are saying that Sudanese and Aboriginals commit more crime per capita than the general population. You should publish that data to silence them!;;neutral;medium;action-based;http://twitter.com/D_Mehra31/statuses/1172720236887457801
450;458;"@AdrianEdwrds @Refugees @RefugeesChief After bloody events in Iraq, Is it clear now, Why do the Iraqi refugees can't go back to Iraq at all? Iraqi asylum seeker&refugees have waited for4to7yrs to reach resettlement,appealed the whole world for more than10months with their hashtag #StandWithIraqiRefugees But no respond
";;negative;high;helpless;http://twitter.com/MalliSK5/statuses/1172877582057885697
451;459;"@AdrianEdwrds @Refugees @RefugeesChief Very good initiative ! Feeling of being refugee is hard and also very had to understand unless we are in that position
";;positive;high;liking;http://twitter.com/IAmSaiima/statuses/1172920333021646848
452;460;@afsahi_ramin @UNICEF @Refugees @UNHCRTurkey @RefugeesCE @UNHCRCanada @UN_PGA @unicefchief I am a bidoon and I have no homeland why I can’t work or completel the school because I don’t have identity!! When I have my own identity I appreciate working and c;;negative;medium;helpless;http://twitter.com/UkWass33/statuses/1172799051122827267
453;461;@alangamlen @heindehaas @Refugees @UNmigration @UNDESA As a fair world..looking for every legal thing..should be fair with legal Iraqi asylum seekers&refugees to rescue them from the long wait in host countries&help them to reach resettlement countries, a;;neutral;medium;disliking;http://twitter.com/Ayse3245/statuses/1100814629826109442
454;462;@alangamlen @heindehaas @Refugees @UNmigration @UNDESA Invest in good deeds by accelerating the processing of Iraqi asylum seekers&refugee files to rescue them from their suffering of long waiting of resettlement which lasted for3to6 yrs. Have any of you ;;neutral;medium;disliking;http://twitter.com/NoshinBashir/statuses/1181230713678512128
455;463;@Alexandra0306 @_AfricanUnion @AfricanUnionUN @UNICEFEMOPS @UN @amnesty @Refugees @AP @Reuters @BBCBreaking @ecowas_cedeao @SecPompeo Mxmm.....Imbecile....;;neutral;high;disliking;http://twitter.com/SHAHLA21566500/statuses/1100846755707580417
456;464;@Alexandra0306 @_AfricanUnion @AfricanUnionUN @UNICEFEMOPS @UN @amnesty @Refugees @AP @Reuters @BBCBreaking @ecowas_cedeao @SecPompeo Ppl like u are shallow and have no real understanding of the problem. SA ppl accommodate millions of foreigners who are l;;neutral;high;disliking;http://twitter.com/hooshoosh/statuses/1172994052918259713
457;465;@Alexandra0306 @_AfricanUnion @AfricanUnionUN @UNICEFEMOPS @UN @amnesty @Refugees @AP @Reuters @BBCBreaking @ecowas_cedeao @SecPompeo This man is exxagerating and most of the Nigerians who took advantage of the free flights would of course lie thru their ;;neutral;high;disliking;http://twitter.com/Zeman20283613/statuses/1172593738201423873
458;466;@Alexandra0306 @_AfricanUnion @AfricanUnionUN @UNICEFEMOPS @UN @amnesty @Refugees @AP @Reuters @BBCBreaking @ecowas_cedeao @SecPompeo This man is talking rubbish. I wonder who is feeding him such rubbish. SA is a soveriegn state, not a jungle where Nigeri;;neutral;high;disliking;http://twitter.com/ratajtark/statuses/1172569111290896384
459;467;"@ALIBASILALI1 @UN_Valovaya @AminaJMohammed @UNGeneva @Refugees You must build your country . you need to work for it fight for it ....
";;neutral;medium;disliking;http://twitter.com/Abdulqa87813485/statuses/1172634753209704448
460;468;@AMASADirectAid Speaker Dr Kaka -even if you're a professional refugee women have to work in low paid jobs 12 year old said all she has is the clothes on her back & 1 book 3 year old hid food under her bed knew there won't more @marot_touloung @Refugees @;;neutral;medium;sharing;http://twitter.com/Hanony06369433/statuses/1172571774946631681
461;469;"@AMB_Affey @Refugees @denmarkdotdk @worldbankdata @TheJDC Great initiative. However, if ""90% of those displaced are in developing world"", why have the data centre in the global north? @MIDEQHub @CNkwetaSalami @SouthernResp @Nanjala1 @nyamoriv
";;neutral;medium;disliking;http://twitter.com/khaled37898099/statuses/1172642917179121676
462;470;@AMB_Affey @Refugees Thank you sir;;neutral;medium;liking;http://twitter.com/bushraaljanabi/statuses/1172601760084574208
463;471;"@AmichaiStein1 Fck murderers. Genocide has started. @Refugees @UN @UN_Spokesperson @amnesty @UNHumanRights @UN_Women @warchild https://t.co/LGNTLmpS0Z
";;neutral;high;sharing;http://twitter.com/6G944oQcys0Bw9J/statuses/1172576443009785856
464;472;"@AminaJMohammed @Refugees @RefugeesChief @antonioguterres @AAzoulay @mbachelet @UNHumanRights @UN @UN_PGA @unicefchief @UN_Valovaya @UNGeneva @YuryFedotov @UN_Vienna @UNESCO @UNICEFEducation @UN_HRC @UNYouthEnvoy 𝗣𝗟𝗘𝗔𝗦𝗘 make #HumanRights Day as popular as Mother's day. Why not making this simple, universal initiative one of the banners for the 74th #UNGA? Better leaders, a better world in 1 generation within easy reach? Yet again, Dec 10 is coming soon; 𝗣𝗟𝗘𝗔𝗦𝗘 act. Thank you. https://t.co/ucAGeo6XOZ
";;negative;high;disliking;http://twitter.com/Ahmed13860993/statuses/1172783328820416512
